A1,A2,A3,A4,A5,heat,time,,,,,,,,
20.12,19.43,20.12,20.41,19.73,0,8045,,,,,,,,
,,,,,,,,,,,,,,
20.31,19.53,20.12,20.41,19.43,0,8085,,,,,,,,
,,,,,,,,,,,,,,
20.31,19.63,20.12,20.41,19.73,0,8125,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.43,20.12,20.51,19.73,0,8164,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.53,20.12,20.41,19.63,0,8204,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,20.31,20.51,19.63,0,8243,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.53,20.02,20.7,19.43,0,8283,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,19.92,20.41,19.82,0,8322,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.34,20.31,20.51,19.53,0,8361,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.12,20.51,19.63,0,8401,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.73,20.02,20.41,19.73,0,8440,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.63,20.12,20.61,19.73,0,8480,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.31,20.41,19.73,0,8519,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.73,20.02,20.61,19.73,0,8559,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.53,20.21,20.31,19.73,0,8599,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.34,20.12,20.41,19.63,0,8638,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.12,20.51,19.73,0,8678,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.53,20.02,20.51,19.53,0,8717,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.34,20.12,20.51,19.63,0,8757,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,19.92,20.41,19.73,0,8797,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.02,20.51,19.53,0,8836,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.73,20.31,20.51,19.63,0,8876,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.63,19.92,20.7,19.73,0,8914,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.02,20.51,19.63,0,8954,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.12,20.51,19.73,0,8994,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.53,20.02,20.51,19.63,0,9033,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.53,20.21,20.41,19.63,0,9073,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.63,20.02,20.61,19.73,0,9112,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.63,20.02,20.51,19.63,0,9152,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.53,20.02,20.51,19.63,0,9192,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.43,20.02,20.51,19.53,0,9231,,,,,,,,
,,,,,,,,,,,,,,
19.92,19.63,19.92,20.61,19.63,0,9271,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.73,20.21,20.51,19.82,0,9310,,,,,,,,
,,,,,,,,,,,,,,
20.12,19.73,20.12,20.41,19.73,0,9350,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.34,20.02,20.41,19.73,0,9390,,,,,,,,
,,,,,,,,,,,,,,
20.21,19.53,20.12,20.41,19.82,0,9428,,,,,,,,
,,,,,,,,,,,,,,
20.02,19.73,20.02,20.41,19.82,0,9468,,,,,,,,
,,,,,,,,,,,,,,
